incident_id;offense_id;offense_code;offense_code_extension;offense_type_id;offense_category_id;first_occurrence_date;incident_address;geo_x;geo_y;geo_lon;geo_lat;district_id;precinct_id;neighborhood_id;is_crime;is_traffic;victim_count
2023476327;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/3/2023 11:00:00 AM;490 W COLFAX AVE;3,14242E+13;1,69474E+13;-1049935737;397397729;6;611;civic-center;1;0;1
2023478049;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 6:29:00 PM;2993 W YALE AVE;3,13397E+13;1,6682E+13;-1050240936;396670511;4;422;college-view-south-platte;1;0;1
2023477120;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 5:01:00 AM;6700 E EASTMAN AVE;3,16598E+13;1,66541E+13;-1049104754;396588629;3;323;hampden;1;0;1
2023476714;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/3/2023 10:00:00 PM;4560 N TEJON ST;3,13746E+13;1,70906E+13;-1050109472;397791665;1;111;sunnyside;1;0;1
2023477140;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 3:00:00 AM;717 E COLFAX AVE;3,14666E+13;1,6949E+13;-1049784901;397401490;6;621;north-capitol-hill;1;0;1
2023477047;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 2:55:00 AM;16TH ST / TREMONT PL;3,14354E+13;1,69599E+13;-1049895770;397431762;6;611;cbd;1;0;1
2023477102;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 1:30:00 AM;300 BLOCK E 17TH AVE;3,14536E+13;1,69593E+13;-1049831025;397430080;6;621;north-capitol-hill;1;0;1
2023477776;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 2:37:00 PM;4500 BLK N TENNYSON ST;3,12824E+13;1,70877E+13;-1050437523;397784966;1;111;berkeley;1;0;2
2023476724;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/3/2023 10:29:00 PM;607 E ALAMEDA AVE;3,14624E+13;1,68438E+13;-1049801871;397112624;3;311;speer;1;0;1
2023477446;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/4/2023 10:50:00 AM;;;;;;5;521;montbello;1;0;1
2023477986;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 5:28:00 PM;14100 BLK E 46TH AVE;3,18744E+13;1,70941E+13;-1048331051;397792351;5;521;montbello;1;0;1
2023476976;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 1:41:00 AM;4550 N KITTREDGE ST;3,19686E+13;1,709E+13;-1047996125;397779316;5;522;gateway-green-valley-ranch;1;0;1
2023476627;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/3/2023 9:20:00 PM;20TH ST / MARKET ST;3,14243E+13;1,6998E+13;-1049934202;397536523;6;612;union-station;1;0;1
2023477319;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 8:50:00 AM;1373 N MARIPOSA ST;3,13964E+13;1,6942E+13;-1050034694;397383409;1;123;lincoln-park;1;0;2
2023477456;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 10:56:00 AM;2800 BLK W WESLEY AVE;3,13428E+13;1,67041E+13;-1050229726;396731027;4;422;college-view-south-platte;1;0;1
2023477190;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/3/2023 2:00:00 PM;5050 N ARGONNE ST;3,20559E+13;1,71283E+13;-1047684403;397882564;5;523;gateway-green-valley-ranch;1;0;1
2023477632;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 12:30:00 PM;E YALE AVE / S MONACO ST;3,16528E+13;1,6686E+13;-1049128742;396676298;3;323;hampden;1;0;1
2023476525;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/3/2023 8:03:00 PM;1850 CHESTNUT PL;3,1405E+13;1,70071E+13;-1050002877;397561990;6;612;union-station;1;0;2
2023476931;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 12:00:00 AM;W ARCHER PL / S BROADWAY ST;3,14417E+13;1,68597E+13;-1049875127;397156733;3;311;baker;1;0;1
2023476838;2,02348E+15;1315;6;agg-aslt-shoot;aggravated-assault;9/3/2023 11:42:00 PM;1457 N OGDEN ST;3,14751E+13;1,69465E+13;-1049754586;397394437;6;623;capitol-hill;1;0;1
2023460446;2,02346E+15;1315;0;aggravated-assault;aggravated-assault;8/26/2023 7:32:00 AM;4700 BLK N HELENA ST;3,19456E+13;1,70958E+13;-1048077547;397795665;5;522;gateway-green-valley-ranch;1;0;1
2023477809;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;8/29/2023 2:30:00 AM;3737 N QUEBEC ST;3,16762E+13;1,70541E+13;-1049037286;397686549;2;221;northeast-park-hill;1;0;1
2023479224;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/5/2023 10:53:00 AM;2215 COURT PL;3,1459E+13;1,69794E+13;-1049811272;397485145;6;621;five-points;1;0;1
2023478237;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 9:06:00 PM;1421 N MONACO ST;3,16504E+13;1,69451E+13;-1049131569;397387817;2;222;montclair;1;0;1
2023478143;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/4/2023 9:47:00 PM;;;;;;3;323;kennedy;1;0;1
2023478182;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/4/2023 8:16:00 PM;;;;;;4;412;westwood;1;0;1
2023479942;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;8/26/2023 12:00:00 PM;;;;;;3;313;overland;1;0;1
2023478151;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 5:22:00 PM;844 N OGDEN ST;3,14768E+13;1,69117E+13;-1049749327;397299016;6;623;capitol-hill;1;0;1
2023478187;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/4/2023 8:23:00 PM;1400 BLK N CLARKSON ST;3,14696E+13;1,69441E+13;-1049774476;397388102;6;623;capitol-hill;1;0;1
2023479942;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;8/26/2023 12:00:00 PM;2065 S CHEROKEE ST;3,14315E+13;1,67273E+13;-1049914126;396793396;3;313;overland;1;0;1
2023438766;2,02344E+15;1315;6;agg-aslt-shoot;aggravated-assault;8/15/2023 5:40:00 AM;N TULSA CT / E 48TH AVE;3,18536E+13;1,71082E+13;-1048404687;397831721;5;521;montbello;1;0;1
2023480130;2,02348E+15;1314;1;weapon-fire-into-occ-veh;aggravated-assault;9/5/2023 7:40:00 PM;600 BLK N OSCEOLA ST;3,12993E+13;1,69042E+13;-1050380573;397280909;1;122;villa-park;1;0;1
2023481557;2,02348E+15;1314;1;weapon-fire-into-occ-veh;aggravated-assault;9/6/2023 2:40:00 PM;3100 BLOCK W FLORIDA AVE;3,13333E+13;1,67634E+13;-1050262269;396894066;4;421;mar-lee;1;0;1
2023480343;2,02348E+15;1314;1;weapon-fire-into-occ-veh;aggravated-assault;9/5/2023 10:27:00 PM;3925 N NIAGARA ST;3,16554E+13;1,70662E+13;-1049110785;397720109;2;221;northeast-park-hill;1;0;2
2023480011;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 8:00:00 PM;4100 BLK E 48TH AVE;3,15777E+13;1,71102E+13;-1049386305;397842164;2;221;northeast-park-hill;1;0;1
2023481838;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/6/2023 5:07:00 PM;E 18TH AVE / N PEARL ST;3,14626E+13;1,69661E+13;-1049798812;397448606;6;621;north-capitol-hill;1;0;1
2023481825;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/6/2023 4:58:00 PM;6000 BLK W 52ND AVE;3,12302E+13;1,7128E+13;-1050622266;397896245;1;111;regis;1;0;1
2023480330;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/5/2023 9:50:00 PM;1000 CHOPPER CIR;3,13767E+13;1,69732E+13;-1050104040;397469159;1;123;auraria;1;0;1
